"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000299.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"1.0 -0.008"	"dimensionless"	"Unit Vector"	"direct"	"2.79 10.87 0.0"	"micron"	"direct"	"47.5625"	"micron^2"	"direct"	"7.7825"	"micron"	"direct"	"10.23425"	"micron"	"direct"	"6.177"	"micron"	"direct"	"31.52825"	"micron"	"direct"	"3.89125"	"micron"	"direct"	"0.60356157"	"dimensionless"	"direct"	"0.6012773"	"dimensionless"	"direct"	"0.79731639"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9973 -0.073"	"dimensionless"	"Unit Vector"	"direct"	"0.88 56.1 0.0"	"micron"	"direct"	"12.75"	"micron^2"	"direct"	"4.0295"	"micron"	"direct"	"10.2115"	"micron"	"direct"	"2.16575"	"micron"	"direct"	"23.864"	"micron"	"direct"	"2.01475"	"micron"	"direct"	"0.21208931"	"dimensionless"	"direct"	"0.28134135"	"dimensionless"	"direct"	"0.97725029"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9 -0.436"	"dimensionless"	"Unit Vector"	"direct"	"2.29 76.79 0.0"	"micron"	"direct"	"19.5"	"micron^2"	"direct"	"4.9835"	"micron"	"direct"	"8.69875"	"micron"	"direct"	"3.529"	"micron"	"direct"	"26.5815"	"micron"	"direct"	"2.49175"	"micron"	"direct"	"0.40569047"	"dimensionless"	"direct"	"0.34680512"	"dimensionless"	"direct"	"0.91401053"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9998 -0.02"	"dimensionless"	"Unit Vector"	"direct"	"3.1 124.83 0.0"	"micron"	"direct"	"37.625"	"micron^2"	"direct"	"6.922"	"micron"	"direct"	"7.7225"	"micron"	"direct"	"6.70525"	"micron"	"direct"	"30.20275"	"micron"	"direct"	"3.461"	"micron"	"direct"	"0.86827452"	"dimensionless"	"direct"	"0.51831455"	"dimensionless"	"direct"	"0.49608402"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.999 0.044"	"dimensionless"	"Unit Vector"	"direct"	"1.41 171.25 0.0"	"micron"	"direct"	"37.8125"	"micron^2"	"direct"	"6.9395"	"micron"	"direct"	"18.06675"	"micron"	"direct"	"2.918"	"micron"	"direct"	"40.80475"	"micron"	"direct"	"3.46975"	"micron"	"direct"	"0.16151217"	"dimensionless"	"direct"	"0.28538018"	"dimensionless"	"direct"	"0.98687072"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"1.0 0.006"	"dimensionless"	"Unit Vector"	"direct"	"3.11 304.48 0.0"	"micron"	"direct"	"41.3125"	"micron^2"	"direct"	"7.2535"	"micron"	"direct"	"9.8235"	"micron"	"direct"	"5.76725"	"micron"	"direct"	"34.34025"	"micron"	"direct"	"3.62675"	"micron"	"direct"	"0.58708709"	"dimensionless"	"direct"	"0.44023487"	"dimensionless"	"direct"	"0.80952378"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9777 -0.2099"	"dimensionless"	"Unit Vector"	"direct"	"2.34 322.78 0.0"	"micron"	"direct"	"27.1875"	"micron^2"	"direct"	"5.884"	"micron"	"direct"	"7.75725"	"micron"	"direct"	"4.82325"	"micron"	"direct"	"23.91575"	"micron"	"direct"	"2.942"	"micron"	"direct"	"0.62177318"	"dimensionless"	"direct"	"0.5973256"	"dimensionless"	"direct"	"0.78319737"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.4072 -0.9134"	"dimensionless"	"Unit Vector"	"direct"	"3.6 328.32 0.0"	"micron"	"direct"	"22.0"	"micron^2"	"direct"	"5.293"	"micron"	"direct"	"6.947"	"micron"	"direct"	"4.30625"	"micron"	"direct"	"19.73525"	"micron"	"direct"	"2.6465"	"micron"	"direct"	"0.61987189"	"dimensionless"	"direct"	"0.70981844"	"dimensionless"	"direct"	"0.78470303"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.7258 -0.6879"	"dimensionless"	"Unit Vector"	"direct"	"5.63 224.36 0.0"	"micron"	"direct"	"65.1875"	"micron^2"	"direct"	"9.1115"	"micron"	"direct"	"10.7135"	"micron"	"direct"	"8.013"	"micron"	"direct"	"39.126"	"micron"	"direct"	"4.55575"	"micron"	"direct"	"0.74793485"	"dimensionless"	"direct"	"0.53511027"	"dimensionless"	"direct"	"0.66377215"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
"MCDS_S_0000000299.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.931 -0.365"	"dimensionless"	"Unit Vector"	"direct"	"4.84 272.0 0.0"	"micron"	"direct"	"39.375"	"micron^2"	"direct"	"7.081"	"micron"	"direct"	"9.538"	"micron"	"direct"	"5.7905"	"micron"	"direct"	"33.401"	"micron"	"direct"	"3.5405"	"micron"	"direct"	"0.60709792"	"dimensionless"	"direct"	"0.44351825"	"dimensionless"	"direct"	"0.79462703"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000299.xml"
