"Sample Name"	"Characteristic[Phenotype Type]"	"Characteristic[Cell Cycle Model]"	"Characteristic[Cell Cycle Phase]"	"Protocol REF"	"Parameter Value[Birth Rate]"	"Units"	"Characteristic[Birth Rate - Measurement Type]"	"Parameter Value[Death Rate]"	"Units"	"Characteristic[Death Rate - Type]"	"Characteristic[Death Rate - Measurement Type]"	"Parameter Value[Duration]"	"Units"	"Characteristic[Duration - Measurement Type]"	"Parameter Value[Net Birth Rate]"	"Units"	"Characteristic[Net Birth Rate - Measurement Type]"	"Parameter Value[Population Doubling Time]"	"Units"	"Characteristic[Population Doubling Time - Measurement Type]"	"Assay Name"	"MCDS-DCL File"
"MCDS_L_0000000063.0.0"	"expected"	"Ki67_advanced"	"Ki67_premitotic"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"13.0"	"hour"	"estimated"	""	""	""	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.0"	"expected"	"Ki67_advanced"	"Ki67_postmitotic"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"2.5"	"hour"	"estimated"	""	""	""	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.0"	"expected"	"Ki67_advanced"	"quiescent"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"507.9"	"hour"	"inferred"	""	""	""	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.0"	"expected"	"Ki67_basic"	"proliferating"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"17.98"	"hour"	"estimated"	""	""	""	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.0"	"expected"	"Ki67_basic"	"quiescent"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"503.35"	"hour"	"inferred"	""	""	""	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.0"	"expected"	"live_dead"	"live"	"Cell Cycle Characterization"	"0.00186"	"1/hour"	"inferred"	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"678.7"	"hour"	"inferred"	""	""	""	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.0"	"expected"	"total_cells"	"all"	"Cell Cycle Characterization"	""	""	""	""	""	""	""	"678.7"	"hour"	"inferred"	"0.00147"	"1/hour"	"inferred"	"470.44"	"hour"	"inferred"	"viable"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.1"	"expected"	"Ki67_advanced"	"Ki67_premitotic"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"13.0"	"hour"	"estimated"	""	""	""	"285.8"	"hour"	"inferred"	"hypoxic"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.1"	"expected"	"Ki67_advanced"	"Ki67_postmitotic"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"2.5"	"hour"	"estimated"	""	""	""	"285.8"	"hour"	"inferred"	"hypoxic"	"MCDS_L_0000000063.xml"
"MCDS_L_0000000063.0.1"	"expected"	"Ki67_advanced"	"quiescent"	"Cell Cycle Characterization"	""	""	""	"0.000385"	"1/hour"	"apoptosis"	"inferred"	"325.99"	"hour"	"inferred"	""	""	""	"285.8"	"hour"	"inferred"	"hypoxic"	"MCDS_L_0000000063.xml"
