"Sample Name"	"Characteristic[Phenotype Type]"	"Characteristic[Cell Cycle Model]"	"Characteristic[Cell Cycle Phase]"	"Protocol REF"	"Parameter Value[Birth Rate]"	"Units"	"Characteristic[Birth Rate - Measurement Type]"	"Parameter Value[Death Rate]"	"Units"	"Characteristic[Death Rate - Type]"	"Characteristic[Death Rate - Measurement Type]"	"Parameter Value[Duration]"	"Units"	"Characteristic[Duration - Measurement Type]"	"Parameter Value[Net Birth Rate]"	"Units"	"Characteristic[Net Birth Rate - Measurement Type]"	"Parameter Value[Population Doubling Time]"	"Units"	"Characteristic[Population Doubling Time - Measurement Type]"	"Assay Name"	"MCDS-DCL File"
"MCDS_L_0000000061.0.0"	"expected"	"Ki67_advanced"	"Ki67_premitotic"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"13.0"	"hour"	"estimated"	""	""	""	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.0"	"expected"	"Ki67_advanced"	"Ki67_postmitotic"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"2.5"	"hour"	"estimated"	""	""	""	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.0"	"expected"	"Ki67_advanced"	"quiescent"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"513.28"	"hour"	"inferred"	""	""	""	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.0"	"expected"	"Ki67_basic"	"proliferating"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"17.98"	"hour"	"estimated"	""	""	""	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.0"	"expected"	"Ki67_basic"	"quiescent"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"508.73"	"hour"	"inferred"	""	""	""	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.0"	"expected"	"live_dead"	"live"	"Cell Cycle Characterization"	"0.00184"	"1/hour"	"inferred"	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"639.89"	"hour"	"inferred"	""	""	""	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.0"	"expected"	"total_cells"	"all"	"Cell Cycle Characterization"	""	""	""	""	""	""	""	"639.89"	"hour"	"inferred"	"0.00156"	"1/hour"	"inferred"	"443.54"	"hour"	"inferred"	"viable"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.1"	"expected"	"Ki67_advanced"	"Ki67_premitotic"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"13.0"	"hour"	"estimated"	""	""	""	"110.33"	"hour"	"inferred"	"hypoxic"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.1"	"expected"	"Ki67_advanced"	"Ki67_postmitotic"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"2.5"	"hour"	"estimated"	""	""	""	"110.33"	"hour"	"inferred"	"hypoxic"	"MCDS_L_0000000061.xml"
"MCDS_L_0000000061.0.1"	"expected"	"Ki67_advanced"	"quiescent"	"Cell Cycle Characterization"	""	""	""	"0.000277"	"1/hour"	"apoptosis"	"inferred"	"123.97"	"hour"	"inferred"	""	""	""	"110.33"	"hour"	"inferred"	"hypoxic"	"MCDS_L_0000000061.xml"
