"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000268.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9842 0.177"	"dimensionless"	"Unit Vector"	"direct"	"2.78 20.6 0.0"	"micron"	"direct"	"42.5"	"micron^2"	"direct"	"7.357"	"micron"	"direct"	"9.81775"	"micron"	"direct"	"5.762"	"micron"	"direct"	"30.5815"	"micron"	"direct"	"3.6785"	"micron"	"direct"	"0.58689618"	"dimensionless"	"direct"	"0.57105932"	"dimensionless"	"direct"	"0.8096622"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.149 -0.9888"	"dimensionless"	"Unit Vector"	"direct"	"4.9 66.36 0.0"	"micron"	"direct"	"62.125"	"micron^2"	"direct"	"8.8945"	"micron"	"direct"	"11.41675"	"micron"	"direct"	"7.3715"	"micron"	"direct"	"36.876"	"micron"	"direct"	"4.44725"	"micron"	"direct"	"0.64567412"	"dimensionless"	"direct"	"0.57410146"	"dimensionless"	"direct"	"0.76361308"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9985 -0.055"	"dimensionless"	"Unit Vector"	"direct"	"2.08 100.11 0.0"	"micron"	"direct"	"34.3125"	"micron^2"	"direct"	"6.6105"	"micron"	"direct"	"9.7555"	"micron"	"direct"	"4.83225"	"micron"	"direct"	"26.7175"	"micron"	"direct"	"3.30525"	"micron"	"direct"	"0.49533596"	"dimensionless"	"direct"	"0.6040468"	"dimensionless"	"direct"	"0.86870149"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.9984 0.057"	"dimensionless"	"Unit Vector"	"direct"	"1.33 131.76 0.0"	"micron"	"direct"	"20.0"	"micron^2"	"direct"	"5.0465"	"micron"	"direct"	"9.5265"	"micron"	"direct"	"2.9045"	"micron"	"direct"	"21.90675"	"micron"	"direct"	"2.52325"	"micron"	"direct"	"0.30488637"	"dimensionless"	"direct"	"0.52370167"	"dimensionless"	"direct"	"0.95238873"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9998 -0.022"	"dimensionless"	"Unit Vector"	"direct"	"1.32 151.72 0.0"	"micron"	"direct"	"32.75"	"micron^2"	"direct"	"6.458"	"micron"	"direct"	"16.6625"	"micron"	"direct"	"2.873"	"micron"	"direct"	"37.01925"	"micron"	"direct"	"3.229"	"micron"	"direct"	"0.17242311"	"dimensionless"	"direct"	"0.30030733"	"dimensionless"	"direct"	"0.98502298"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.5568 -0.8307"	"dimensionless"	"Unit Vector"	"direct"	"6.79 90.03 0.0"	"micron"	"direct"	"113.875"	"micron^2"	"direct"	"12.0425"	"micron"	"direct"	"15.2515"	"micron"	"direct"	"10.46175"	"micron"	"direct"	"60.95575"	"micron"	"direct"	"6.02125"	"micron"	"direct"	"0.68594892"	"dimensionless"	"direct"	"0.38513137"	"dimensionless"	"direct"	"0.72764969"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9992 -0.039"	"dimensionless"	"Unit Vector"	"direct"	"4.43 122.95 0.0"	"micron"	"direct"	"71.0"	"micron^2"	"direct"	"9.509"	"micron"	"direct"	"11.3055"	"micron"	"direct"	"8.2355"	"micron"	"direct"	"36.7885"	"micron"	"direct"	"4.7545"	"micron"	"direct"	"0.72845075"	"dimensionless"	"direct"	"0.65924076"	"dimensionless"	"direct"	"0.68509817"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9996 0.027"	"dimensionless"	"Unit Vector"	"direct"	"5.03 109.53 0.0"	"micron"	"direct"	"51.25"	"micron^2"	"direct"	"8.0785"	"micron"	"direct"	"9.265"	"micron"	"direct"	"7.14525"	"micron"	"direct"	"27.0815"	"micron"	"direct"	"4.03925"	"micron"	"direct"	"0.77120885"	"dimensionless"	"direct"	"0.87812897"	"dimensionless"	"direct"	"0.63658221"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.6259 -0.7799"	"dimensionless"	"Unit Vector"	"direct"	"4.11 9.3 0.0"	"micron"	"direct"	"13.5"	"micron^2"	"direct"	"4.1465"	"micron"	"direct"	"4.55525"	"micron"	"direct"	"3.83"	"micron"	"direct"	"13.364"	"micron"	"direct"	"2.07325"	"micron"	"direct"	"0.8407881"	"dimensionless"	"direct"	"0.94988428"	"dimensionless"	"direct"	"0.54136436"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
"MCDS_S_0000000268.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8064 0.5913"	"dimensionless"	"Unit Vector"	"direct"	"8.29 47.4 0.0"	"micron"	"direct"	"81.25"	"micron^2"	"direct"	"10.172"	"micron"	"direct"	"13.2585"	"micron"	"direct"	"8.48"	"micron"	"direct"	"40.049"	"micron"	"direct"	"5.086"	"micron"	"direct"	"0.6395897"	"dimensionless"	"direct"	"0.63657544"	"dimensionless"	"direct"	"0.76871648"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000268.xml"
