"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000178.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9178 0.3969"	"dimensionless"	"Unit Vector"	"direct"	"3.42 143.43 0.0"	"micron"	"direct"	"48.4375"	"micron^2"	"direct"	"7.854"	"micron"	"direct"	"12.76875"	"micron"	"direct"	"4.9215"	"micron"	"direct"	"30.64225"	"micron"	"direct"	"3.927"	"micron"	"direct"	"0.38543319"	"dimensionless"	"direct"	"0.64826158"	"dimensionless"	"direct"	"0.92273575"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.823 0.568"	"dimensionless"	"Unit Vector"	"direct"	"3.85 131.3 0.0"	"micron"	"direct"	"14.5625"	"micron^2"	"direct"	"4.3065"	"micron"	"direct"	"6.0535"	"micron"	"direct"	"3.099"	"micron"	"direct"	"15.2175"	"micron"	"direct"	"2.15325"	"micron"	"direct"	"0.51193524"	"dimensionless"	"direct"	"0.79024031"	"dimensionless"	"direct"	"0.85902404"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9854 0.1701"	"dimensionless"	"Unit Vector"	"direct"	"4.48 363.54 0.0"	"micron"	"direct"	"24.125"	"micron^2"	"direct"	"5.543"	"micron"	"direct"	"6.2755"	"micron"	"direct"	"5.1585"	"micron"	"direct"	"20.1065"	"micron"	"direct"	"2.7715"	"micron"	"direct"	"0.82200621"	"dimensionless"	"direct"	"0.74990151"	"dimensionless"	"direct"	"0.56947852"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.5931 0.8051"	"dimensionless"	"Unit Vector"	"direct"	"6.56 250.99 0.0"	"micron"	"direct"	"38.1875"	"micron^2"	"direct"	"6.9735"	"micron"	"direct"	"8.60025"	"micron"	"direct"	"6.31025"	"micron"	"direct"	"29.617"	"micron"	"direct"	"3.48675"	"micron"	"direct"	"0.73372867"	"dimensionless"	"direct"	"0.54707764"	"dimensionless"	"direct"	"0.67944259"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.6342 0.7732"	"dimensionless"	"Unit Vector"	"direct"	"6.91 296.93 0.0"	"micron"	"direct"	"26.0625"	"micron^2"	"direct"	"5.761"	"micron"	"direct"	"6.80825"	"micron"	"direct"	"4.91725"	"micron"	"direct"	"19.48525"	"micron"	"direct"	"2.8805"	"micron"	"direct"	"0.72224874"	"dimensionless"	"direct"	"0.86260897"	"dimensionless"	"direct"	"0.6916334"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.76 -0.65"	"dimensionless"	"Unit Vector"	"direct"	"6.24 99.31 0.0"	"micron"	"direct"	"17.0"	"micron^2"	"direct"	"4.653"	"micron"	"direct"	"5.48525"	"micron"	"direct"	"3.9475"	"micron"	"direct"	"15.13175"	"micron"	"direct"	"2.3265"	"micron"	"direct"	"0.71965726"	"dimensionless"	"direct"	"0.93299748"	"dimensionless"	"direct"	"0.69432948"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.8194 -0.5733"	"dimensionless"	"Unit Vector"	"direct"	"7.42 307.79 0.0"	"micron"	"direct"	"20.625"	"micron^2"	"direct"	"5.125"	"micron"	"direct"	"6.009"	"micron"	"direct"	"4.49"	"micron"	"direct"	"17.046"	"micron"	"direct"	"2.5625"	"micron"	"direct"	"0.74721251"	"dimensionless"	"direct"	"0.89198767"	"dimensionless"	"direct"	"0.66458518"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.4981 0.8671"	"dimensionless"	"Unit Vector"	"direct"	"8.42 83.43 0.0"	"micron"	"direct"	"18.6875"	"micron^2"	"direct"	"4.8785"	"micron"	"direct"	"5.992"	"micron"	"direct"	"3.993"	"micron"	"direct"	"16.33875"	"micron"	"direct"	"2.43925"	"micron"	"direct"	"0.66638852"	"dimensionless"	"direct"	"0.87967736"	"dimensionless"	"direct"	"0.74560468"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.076 0.9971"	"dimensionless"	"Unit Vector"	"direct"	"13.03 120.53 0.0"	"micron"	"direct"	"56.3125"	"micron^2"	"direct"	"8.4685"	"micron"	"direct"	"11.304"	"micron"	"direct"	"6.41275"	"micron"	"direct"	"29.84925"	"micron"	"direct"	"4.23425"	"micron"	"direct"	"0.56729919"	"dimensionless"	"direct"	"0.79423281"	"dimensionless"	"direct"	"0.82351177"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
"MCDS_S_0000000178.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.8578 0.5139"	"dimensionless"	"Unit Vector"	"direct"	"10.05 144.0 0.0"	"micron"	"direct"	"25.1875"	"micron^2"	"direct"	"5.6635"	"micron"	"direct"	"8.4035"	"micron"	"direct"	"3.86575"	"micron"	"direct"	"20.753"	"micron"	"direct"	"2.83175"	"micron"	"direct"	"0.46001666"	"dimensionless"	"direct"	"0.73490831"	"dimensionless"	"direct"	"0.88791028"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000178.xml"
