"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000022.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9975 -0.07"	"dimensionless"	"Unit Vector"	"direct"	"2.3 31.08 0.0"	"micron"	"direct"	"22.5625"	"micron^2"	"direct"	"5.3605"	"micron"	"direct"	"7.35775"	"micron"	"direct"	"4.3325"	"micron"	"direct"	"21.355"	"micron"	"direct"	"2.68025"	"micron"	"direct"	"0.5888349"	"dimensionless"	"direct"	"0.62172443"	"dimensionless"	"direct"	"0.80825334"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9555 -0.2949"	"dimensionless"	"Unit Vector"	"direct"	"3.1 40.72 0.0"	"micron"	"direct"	"35.9375"	"micron^2"	"direct"	"6.765"	"micron"	"direct"	"8.35425"	"micron"	"direct"	"5.83425"	"micron"	"direct"	"26.4765"	"micron"	"direct"	"3.3825"	"micron"	"direct"	"0.69835712"	"dimensionless"	"direct"	"0.64422352"	"dimensionless"	"direct"	"0.71574949"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9048 0.4259"	"dimensionless"	"Unit Vector"	"direct"	"5.32 90.07 0.0"	"micron"	"direct"	"143.9375"	"micron^2"	"direct"	"13.539"	"micron"	"direct"	"18.904"	"micron"	"direct"	"10.83625"	"micron"	"direct"	"57.219"	"micron"	"direct"	"6.7695"	"micron"	"direct"	"0.57322524"	"dimensionless"	"direct"	"0.55246312"	"dimensionless"	"direct"	"0.81939784"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.3591 -0.9333"	"dimensionless"	"Unit Vector"	"direct"	"5.82 109.59 0.0"	"micron"	"direct"	"66.5625"	"micron^2"	"direct"	"9.207"	"micron"	"direct"	"11.335"	"micron"	"direct"	"7.95925"	"micron"	"direct"	"34.1925"	"micron"	"direct"	"4.6035"	"micron"	"direct"	"0.7021835"	"dimensionless"	"direct"	"0.71544751"	"dimensionless"	"direct"	"0.71199602"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9927 -0.121"	"dimensionless"	"Unit Vector"	"direct"	"2.78 116.12 0.0"	"micron"	"direct"	"35.5625"	"micron^2"	"direct"	"6.7295"	"micron"	"direct"	"8.098"	"micron"	"direct"	"6.0185"	"micron"	"direct"	"25.44975"	"micron"	"direct"	"3.36475"	"micron"	"direct"	"0.7432082"	"dimensionless"	"direct"	"0.68997778"	"dimensionless"	"direct"	"0.66906022"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9539 -0.3"	"dimensionless"	"Unit Vector"	"direct"	"3.05 124.08 0.0"	"micron"	"direct"	"35.5625"	"micron^2"	"direct"	"6.7295"	"micron"	"direct"	"9.24575"	"micron"	"direct"	"5.219"	"micron"	"direct"	"28.65675"	"micron"	"direct"	"3.36475"	"micron"	"direct"	"0.56447557"	"dimensionless"	"direct"	"0.54418714"	"dimensionless"	"direct"	"0.82544977"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.99 0.141"	"dimensionless"	"Unit Vector"	"direct"	"1.91 160.7 0.0"	"micron"	"direct"	"17.5625"	"micron^2"	"direct"	"4.729"	"micron"	"direct"	"6.41875"	"micron"	"direct"	"4.12275"	"micron"	"direct"	"19.2945"	"micron"	"direct"	"2.3645"	"micron"	"direct"	"0.64229796"	"dimensionless"	"direct"	"0.5928286"	"dimensionless"	"direct"	"0.76645505"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.9634 0.2681"	"dimensionless"	"Unit Vector"	"direct"	"3.5 198.01 0.0"	"micron"	"direct"	"43.5"	"micron^2"	"direct"	"7.443"	"micron"	"direct"	"9.12625"	"micron"	"direct"	"6.49425"	"micron"	"direct"	"30.06225"	"micron"	"direct"	"3.7215"	"micron"	"direct"	"0.71160115"	"dimensionless"	"direct"	"0.6048618"	"dimensionless"	"direct"	"0.70258366"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9958 0.092"	"dimensionless"	"Unit Vector"	"direct"	"1.49 205.61 0.0"	"micron"	"direct"	"14.0625"	"micron^2"	"direct"	"4.232"	"micron"	"direct"	"7.16675"	"micron"	"direct"	"2.6255"	"micron"	"direct"	"16.7855"	"micron"	"direct"	"2.116"	"micron"	"direct"	"0.36634458"	"dimensionless"	"direct"	"0.6271968"	"dimensionless"	"direct"	"0.93047926"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
"MCDS_S_0000000022.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.7081 -0.7061"	"dimensionless"	"Unit Vector"	"direct"	"5.7 239.04 0.0"	"micron"	"direct"	"90.125"	"micron^2"	"direct"	"10.713"	"micron"	"direct"	"12.4565"	"micron"	"direct"	"10.8515"	"micron"	"direct"	"51.77975"	"micron"	"direct"	"5.3565"	"micron"	"direct"	"0.87115161"	"dimensionless"	"direct"	"0.42241102"	"dimensionless"	"direct"	"0.49101413"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000022.xml"
