"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000149.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9995 -0.033"	"dimensionless"	"Unit Vector"	"direct"	"2.87 70.84 0.0"	"micron"	"direct"	"33.125"	"micron^2"	"direct"	"6.495"	"micron"	"direct"	"7.64425"	"micron"	"direct"	"5.991"	"micron"	"direct"	"27.5385"	"micron"	"direct"	"3.2475"	"micron"	"direct"	"0.78372633"	"dimensionless"	"direct"	"0.54888984"	"dimensionless"	"direct"	"0.6211063"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9457 0.3249"	"dimensionless"	"Unit Vector"	"direct"	"2.32 351.76 0.0"	"micron"	"direct"	"21.9375"	"micron^2"	"direct"	"5.2855"	"micron"	"direct"	"6.234"	"micron"	"direct"	"4.65875"	"micron"	"direct"	"18.13175"	"micron"	"direct"	"2.64275"	"micron"	"direct"	"0.74731312"	"dimensionless"	"direct"	"0.83852797"	"dimensionless"	"direct"	"0.66447204"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.9661 -0.258"	"dimensionless"	"Unit Vector"	"direct"	"2.98 438.35 0.0"	"micron"	"direct"	"52.4375"	"micron^2"	"direct"	"8.172"	"micron"	"direct"	"10.92975"	"micron"	"direct"	"6.96725"	"micron"	"direct"	"33.117"	"micron"	"direct"	"4.086"	"micron"	"direct"	"0.6374574"	"dimensionless"	"direct"	"0.60082759"	"dimensionless"	"direct"	"0.7704856"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.6868 -0.7268"	"dimensionless"	"Unit Vector"	"direct"	"4.58 451.25 0.0"	"micron"	"direct"	"77.375"	"micron^2"	"direct"	"9.9265"	"micron"	"direct"	"12.93025"	"micron"	"direct"	"8.79775"	"micron"	"direct"	"40.24725"	"micron"	"direct"	"4.96325"	"micron"	"direct"	"0.68040061"	"dimensionless"	"direct"	"0.6002582"	"dimensionless"	"direct"	"0.73284037"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.6298 0.7768"	"dimensionless"	"Unit Vector"	"direct"	"2.47 81.06 0.0"	"micron"	"direct"	"17.625"	"micron^2"	"direct"	"4.7375"	"micron"	"direct"	"5.3745"	"micron"	"direct"	"4.56725"	"micron"	"direct"	"16.63175"	"micron"	"direct"	"2.36875"	"micron"	"direct"	"0.84979998"	"dimensionless"	"direct"	"0.80068758"	"dimensionless"	"direct"	"0.52710529"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9981 0.062"	"dimensionless"	"Unit Vector"	"direct"	"2.31 237.47 0.0"	"micron"	"direct"	"37.5"	"micron^2"	"direct"	"6.9105"	"micron"	"direct"	"11.503"	"micron"	"direct"	"4.28425"	"micron"	"direct"	"26.98525"	"micron"	"direct"	"3.45525"	"micron"	"direct"	"0.37244632"	"dimensionless"	"direct"	"0.64712509"	"dimensionless"	"direct"	"0.92805374"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.9552 0.2961"	"dimensionless"	"Unit Vector"	"direct"	"3.19 248.41 0.0"	"micron"	"direct"	"52.9375"	"micron^2"	"direct"	"8.2105"	"micron"	"direct"	"15.062"	"micron"	"direct"	"4.64875"	"micron"	"direct"	"36.34925"	"micron"	"direct"	"4.10525"	"micron"	"direct"	"0.30864095"	"dimensionless"	"direct"	"0.50348018"	"dimensionless"	"direct"	"0.95117862"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.434 0.9009"	"dimensionless"	"Unit Vector"	"direct"	"2.93 269.55 0.0"	"micron"	"direct"	"23.1875"	"micron^2"	"direct"	"5.434"	"micron"	"direct"	"7.0325"	"micron"	"direct"	"5.23175"	"micron"	"direct"	"22.546"	"micron"	"direct"	"2.717"	"micron"	"direct"	"0.74393886"	"dimensionless"	"direct"	"0.57322455"	"dimensionless"	"direct"	"0.66824769"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.057 -0.9984"	"dimensionless"	"Unit Vector"	"direct"	"5.88 295.84 0.0"	"micron"	"direct"	"85.8125"	"micron^2"	"direct"	"10.4535"	"micron"	"direct"	"11.6185"	"micron"	"direct"	"9.79125"	"micron"	"direct"	"39.9455"	"micron"	"direct"	"5.22675"	"micron"	"direct"	"0.84272927"	"dimensionless"	"direct"	"0.67581013"	"dimensionless"	"direct"	"0.53833761"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.9401 0.341"	"dimensionless"	"Unit Vector"	"direct"	"3.26 307.48 0.0"	"micron"	"direct"	"50.125"	"micron^2"	"direct"	"7.9895"	"micron"	"direct"	"11.052"	"micron"	"direct"	"5.96375"	"micron"	"direct"	"28.91725"	"micron"	"direct"	"3.99475"	"micron"	"direct"	"0.53960822"	"dimensionless"	"direct"	"0.7532693"	"dimensionless"	"direct"	"0.84191625"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.10"	"Geometrical Property Characterization"	"individual"	"nucleus"	"10"	"0.8008 0.5989"	"dimensionless"	"Unit Vector"	"direct"	"2.31 339.55 0.0"	"micron"	"direct"	"13.75"	"micron^2"	"direct"	"4.1845"	"micron"	"direct"	"5.571"	"micron"	"direct"	"3.23825"	"micron"	"direct"	"14.91575"	"micron"	"direct"	"2.09225"	"micron"	"direct"	"0.58126907"	"dimensionless"	"direct"	"0.77664468"	"dimensionless"	"direct"	"0.81371141"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.11"	"Geometrical Property Characterization"	"individual"	"nucleus"	"11"	"0.8649 0.5019"	"dimensionless"	"Unit Vector"	"direct"	"2.34 375.56 0.0"	"micron"	"direct"	"16.4375"	"micron^2"	"direct"	"4.575"	"micron"	"direct"	"5.63625"	"micron"	"direct"	"3.826"	"micron"	"direct"	"16.01925"	"micron"	"direct"	"2.2875"	"micron"	"direct"	"0.67882014"	"dimensionless"	"direct"	"0.80493585"	"dimensionless"	"direct"	"0.73430458"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.12"	"Geometrical Property Characterization"	"individual"	"nucleus"	"12"	"0.6242 -0.7813"	"dimensionless"	"Unit Vector"	"direct"	"4.68 392.91 0.0"	"micron"	"direct"	"45.4375"	"micron^2"	"direct"	"7.607"	"micron"	"direct"	"12.357"	"micron"	"direct"	"5.477"	"micron"	"direct"	"35.333"	"micron"	"direct"	"3.8035"	"micron"	"direct"	"0.44323056"	"dimensionless"	"direct"	"0.45736536"	"dimensionless"	"direct"	"0.89640765"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.13"	"Geometrical Property Characterization"	"individual"	"nucleus"	"13"	"0.019 -0.9998"	"dimensionless"	"Unit Vector"	"direct"	"4.45 123.38 0.0"	"micron"	"direct"	"23.5"	"micron^2"	"direct"	"5.4705"	"micron"	"direct"	"9.11425"	"micron"	"direct"	"3.54325"	"micron"	"direct"	"22.27825"	"micron"	"direct"	"2.73525"	"micron"	"direct"	"0.38875936"	"dimensionless"	"direct"	"0.5949981"	"dimensionless"	"direct"	"0.92133933"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.14"	"Geometrical Property Characterization"	"individual"	"nucleus"	"14"	"1.0 0.009"	"dimensionless"	"Unit Vector"	"direct"	"1.63 216.28 0.0"	"micron"	"direct"	"13.0625"	"micron^2"	"direct"	"4.0785"	"micron"	"direct"	"8.03925"	"micron"	"direct"	"2.3285"	"micron"	"direct"	"18.2605"	"micron"	"direct"	"2.03925"	"micron"	"direct"	"0.28964145"	"dimensionless"	"direct"	"0.49227846"	"dimensionless"	"direct"	"0.95713522"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.15"	"Geometrical Property Characterization"	"individual"	"nucleus"	"15"	"0.6837 0.7297"	"dimensionless"	"Unit Vector"	"direct"	"3.29 324.13 0.0"	"micron"	"direct"	"28.6875"	"micron^2"	"direct"	"6.044"	"micron"	"direct"	"6.76925"	"micron"	"direct"	"5.63125"	"micron"	"direct"	"22.27825"	"micron"	"direct"	"3.022"	"micron"	"direct"	"0.83188684"	"dimensionless"	"direct"	"0.72634077"	"dimensionless"	"direct"	"0.5549453"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.16"	"Geometrical Property Characterization"	"individual"	"nucleus"	"16"	"0.4608 -0.8875"	"dimensionless"	"Unit Vector"	"direct"	"7.56 387.25 0.0"	"micron"	"direct"	"59.6875"	"micron^2"	"direct"	"8.7185"	"micron"	"direct"	"14.9585"	"micron"	"direct"	"5.29675"	"micron"	"direct"	"35.42775"	"micron"	"direct"	"4.35925"	"micron"	"direct"	"0.35409633"	"dimensionless"	"direct"	"0.59759384"	"dimensionless"	"direct"	"0.93520895"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.17"	"Geometrical Property Characterization"	"individual"	"nucleus"	"17"	"0.9939 -0.11"	"dimensionless"	"Unit Vector"	"direct"	"2.27 424.7 0.0"	"micron"	"direct"	"20.8125"	"micron^2"	"direct"	"5.148"	"micron"	"direct"	"8.745"	"micron"	"direct"	"3.2805"	"micron"	"direct"	"20.9675"	"micron"	"direct"	"2.574"	"micron"	"direct"	"0.37512864"	"dimensionless"	"direct"	"0.59489567"	"dimensionless"	"direct"	"0.92697276"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.18"	"Geometrical Property Characterization"	"individual"	"nucleus"	"18"	"0.2949 -0.9555"	"dimensionless"	"Unit Vector"	"direct"	"3.72 117.97 0.0"	"micron"	"direct"	"12.6875"	"micron^2"	"direct"	"4.0195"	"micron"	"direct"	"6.8005"	"micron"	"direct"	"2.761"	"micron"	"direct"	"17.55325"	"micron"	"direct"	"2.00975"	"micron"	"direct"	"0.40599956"	"dimensionless"	"direct"	"0.51745292"	"dimensionless"	"direct"	"0.91387327"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.19"	"Geometrical Property Characterization"	"individual"	"nucleus"	"19"	"0.006 1.0"	"dimensionless"	"Unit Vector"	"direct"	"4.6 130.4 0.0"	"micron"	"direct"	"13.125"	"micron^2"	"direct"	"4.0885"	"micron"	"direct"	"7.64975"	"micron"	"direct"	"3.03675"	"micron"	"direct"	"19.77825"	"micron"	"direct"	"2.04425"	"micron"	"direct"	"0.39697376"	"dimensionless"	"direct"	"0.42163189"	"dimensionless"	"direct"	"0.91782996"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.20"	"Geometrical Property Characterization"	"individual"	"nucleus"	"20"	"0.283 0.9591"	"dimensionless"	"Unit Vector"	"direct"	"5.58 346.45 0.0"	"micron"	"direct"	"35.0"	"micron^2"	"direct"	"6.676"	"micron"	"direct"	"8.469"	"micron"	"direct"	"5.385"	"micron"	"direct"	"24.09775"	"micron"	"direct"	"3.338"	"micron"	"direct"	"0.63584839"	"dimensionless"	"direct"	"0.75739933"	"dimensionless"	"direct"	"0.77181398"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.21"	"Geometrical Property Characterization"	"individual"	"nucleus"	"21"	"0.06 -0.9982"	"dimensionless"	"Unit Vector"	"direct"	"5.58 175.51 0.0"	"micron"	"direct"	"17.375"	"micron^2"	"direct"	"4.704"	"micron"	"direct"	"8.10275"	"micron"	"direct"	"2.843"	"micron"	"direct"	"18.59625"	"micron"	"direct"	"2.352"	"micron"	"direct"	"0.35086853"	"dimensionless"	"direct"	"0.63136998"	"dimensionless"	"direct"	"0.93642473"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.22"	"Geometrical Property Characterization"	"individual"	"nucleus"	"22"	"0.5012 -0.8653"	"dimensionless"	"Unit Vector"	"direct"	"7.87 419.31 0.0"	"micron"	"direct"	"63.875"	"micron^2"	"direct"	"9.019"	"micron"	"direct"	"10.8765"	"micron"	"direct"	"7.50375"	"micron"	"direct"	"30.37425"	"micron"	"direct"	"4.5095"	"micron"	"direct"	"0.68990484"	"dimensionless"	"direct"	"0.87002083"	"dimensionless"	"direct"	"0.72390007"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.23"	"Geometrical Property Characterization"	"individual"	"nucleus"	"23"	"0.939 -0.344"	"dimensionless"	"Unit Vector"	"direct"	"4.87 431.95 0.0"	"micron"	"direct"	"12.75"	"micron^2"	"direct"	"4.0295"	"micron"	"direct"	"6.2485"	"micron"	"direct"	"2.73325"	"micron"	"direct"	"14.9245"	"micron"	"direct"	"2.01475"	"micron"	"direct"	"0.43742498"	"dimensionless"	"direct"	"0.71931724"	"dimensionless"	"direct"	"0.89925491"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.24"	"Geometrical Property Characterization"	"individual"	"nucleus"	"24"	"0.2501 -0.9682"	"dimensionless"	"Unit Vector"	"direct"	"8.63 284.95 0.0"	"micron"	"direct"	"43.25"	"micron^2"	"direct"	"7.4215"	"micron"	"direct"	"10.94"	"micron"	"direct"	"5.29575"	"micron"	"direct"	"28.71025"	"micron"	"direct"	"3.71075"	"micron"	"direct"	"0.48407221"	"dimensionless"	"direct"	"0.65935913"	"dimensionless"	"direct"	"0.87502805"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.25"	"Geometrical Property Characterization"	"individual"	"nucleus"	"25"	"0.484 0.8751"	"dimensionless"	"Unit Vector"	"direct"	"10.82 369.55 0.0"	"micron"	"direct"	"71.1875"	"micron^2"	"direct"	"9.5215"	"micron"	"direct"	"14.30075"	"micron"	"direct"	"6.5305"	"micron"	"direct"	"37.592"	"micron"	"direct"	"4.76075"	"micron"	"direct"	"0.45665437"	"dimensionless"	"direct"	"0.63302774"	"dimensionless"	"direct"	"0.88964419"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
"MCDS_S_0000000149.0.26"	"Geometrical Property Characterization"	"individual"	"nucleus"	"26"	"0.88 0.475"	"dimensionless"	"Unit Vector"	"direct"	"5.97 42.91 0.0"	"micron"	"direct"	"20.0"	"micron^2"	"direct"	"5.0465"	"micron"	"direct"	"6.74075"	"micron"	"direct"	"4.14675"	"micron"	"direct"	"21.796"	"micron"	"direct"	"2.52325"	"micron"	"direct"	"0.61517635"	"dimensionless"	"direct"	"0.52903726"	"dimensionless"	"direct"	"0.78838953"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000149.xml"
