"Sample Name"	"Protocol REF"	"Characteristic[Population Type]"	"Characteristic[Cell Part]"	"Cell ID"	"Parameter Value[Orientation]"	"Units"	"Characteristic[Orientation Formalism]"	"Characteristic[Orientation Measurement Type]"	"Parameter Value[Position]"	"Units"	"Characteristic[Position Measurement Type]"	"Parameter Value[Total Area]"	"Units"	"Characteristic[Total Area Measurement Type]"	"Parameter Value[Diameter]"	"Units"	"Characteristic[Diameter Measurement Type]"	"Parameter Value[Major Axis]"	"Units"	"Characteristic[Major Axis Measurement Type]"	"Parameter Value [Minor Axis]"	"Units"	"Characteristic[Minor Axis Measurement Type]"	"Parameter Value[Perimeter]"	"Units"	"Characteristic[Perimeter Measurement Type]"	"Parameter Value[Radius]"	"Units"	"Characteristic[Radius Measurement Type]"	"Parameter Value[Aspect Ratio]"	"Units"	"Characteristic[Aspect Ratio Measurement Type]"	"Parameter Value[Circularity]"	"Units"	"Characteristic[Circularity Measurement Type]"	"Parameter Value[Eccentricity]"	"Units"	"Characteristic[Eccentricity Measurement Type]"	"Assay Name"	"MCDS-DSS File"
"MCDS_S_0000000238.0.0"	"Geometrical Property Characterization"	"individual"	"nucleus"	"0"	"0.9969 0.079"	"dimensionless"	"Unit Vector"	"direct"	"1.97 7.27 0.0"	"micron"	"direct"	"21.9375"	"micron^2"	"direct"	"5.2855"	"micron"	"direct"	"7.531"	"micron"	"direct"	"3.8765"	"micron"	"direct"	"18.77825"	"micron"	"direct"	"2.64275"	"micron"	"direct"	"0.51473908"	"dimensionless"	"direct"	"0.78178398"	"dimensionless"	"direct"	"0.85734688"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.1"	"Geometrical Property Characterization"	"individual"	"nucleus"	"1"	"0.9055 0.4243"	"dimensionless"	"Unit Vector"	"direct"	"3.53 50.17 0.0"	"micron"	"direct"	"47.25"	"micron^2"	"direct"	"7.757"	"micron"	"direct"	"8.97775"	"micron"	"direct"	"7.593"	"micron"	"direct"	"32.14225"	"micron"	"direct"	"3.8785"	"micron"	"direct"	"0.84575757"	"dimensionless"	"direct"	"0.57472373"	"dimensionless"	"direct"	"0.53356737"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.2"	"Geometrical Property Characterization"	"individual"	"nucleus"	"2"	"0.5239 0.8518"	"dimensionless"	"Unit Vector"	"direct"	"4.47 71.53 0.0"	"micron"	"direct"	"67.6875"	"micron^2"	"direct"	"9.2845"	"micron"	"direct"	"9.52625"	"micron"	"direct"	"9.29475"	"micron"	"direct"	"31.99425"	"micron"	"direct"	"4.64225"	"micron"	"direct"	"0.97569873"	"dimensionless"	"direct"	"0.83094919"	"dimensionless"	"direct"	"0.21911639"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.3"	"Geometrical Property Characterization"	"individual"	"nucleus"	"3"	"0.6601 0.7511"	"dimensionless"	"Unit Vector"	"direct"	"3.17 80.5 0.0"	"micron"	"direct"	"30.75"	"micron^2"	"direct"	"6.258"	"micron"	"direct"	"7.26575"	"micron"	"direct"	"5.53775"	"micron"	"direct"	"22.48525"	"micron"	"direct"	"3.129"	"micron"	"direct"	"0.76217183"	"dimensionless"	"direct"	"0.7642924"	"dimensionless"	"direct"	"0.64737477"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.4"	"Geometrical Property Characterization"	"individual"	"nucleus"	"4"	"0.9888 0.149"	"dimensionless"	"Unit Vector"	"direct"	"1.49 87.53 0.0"	"micron"	"direct"	"19.3125"	"micron^2"	"direct"	"4.959"	"micron"	"direct"	"9.4105"	"micron"	"direct"	"2.8705"	"micron"	"direct"	"21.44975"	"micron"	"direct"	"2.4795"	"micron"	"direct"	"0.30503161"	"dimensionless"	"direct"	"0.52747744"	"dimensionless"	"direct"	"0.95234223"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.5"	"Geometrical Property Characterization"	"individual"	"nucleus"	"5"	"0.9764 -0.2161"	"dimensionless"	"Unit Vector"	"direct"	"1.78 104.14 0.0"	"micron"	"direct"	"14.0625"	"micron^2"	"direct"	"4.232"	"micron"	"direct"	"5.208"	"micron"	"direct"	"3.6235"	"micron"	"direct"	"14.74275"	"micron"	"direct"	"2.116"	"micron"	"direct"	"0.69575653"	"dimensionless"	"direct"	"0.81304652"	"dimensionless"	"direct"	"0.7182777"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.6"	"Geometrical Property Characterization"	"individual"	"nucleus"	"6"	"0.979 0.204"	"dimensionless"	"Unit Vector"	"direct"	"2.2 109.77 0.0"	"micron"	"direct"	"24.375"	"micron^2"	"direct"	"5.5715"	"micron"	"direct"	"7.5155"	"micron"	"direct"	"4.37825"	"micron"	"direct"	"21.364"	"micron"	"direct"	"2.78575"	"micron"	"direct"	"0.5825627"	"dimensionless"	"direct"	"0.67110326"	"dimensionless"	"direct"	"0.81278576"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.7"	"Geometrical Property Characterization"	"individual"	"nucleus"	"7"	"0.998 0.064"	"dimensionless"	"Unit Vector"	"direct"	"1.61 125.21 0.0"	"micron"	"direct"	"19.5625"	"micron^2"	"direct"	"4.991"	"micron"	"direct"	"8.58725"	"micron"	"direct"	"3.41075"	"micron"	"direct"	"23.12275"	"micron"	"direct"	"2.4955"	"micron"	"direct"	"0.39718769"	"dimensionless"	"direct"	"0.45978548"	"dimensionless"	"direct"	"0.9177374"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.8"	"Geometrical Property Characterization"	"individual"	"nucleus"	"8"	"0.9196 -0.3928"	"dimensionless"	"Unit Vector"	"direct"	"2.01 392.63 0.0"	"micron"	"direct"	"17.25"	"micron^2"	"direct"	"4.687"	"micron"	"direct"	"5.46825"	"micron"	"direct"	"4.20425"	"micron"	"direct"	"15.63175"	"micron"	"direct"	"2.3435"	"micron"	"direct"	"0.76884744"	"dimensionless"	"direct"	"0.88712284"	"dimensionless"	"direct"	"0.63943226"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
"MCDS_S_0000000238.0.9"	"Geometrical Property Characterization"	"individual"	"nucleus"	"9"	"0.9991 -0.042"	"dimensionless"	"Unit Vector"	"direct"	"1.35 61.56 0.0"	"micron"	"direct"	"20.625"	"micron^2"	"direct"	"5.125"	"micron"	"direct"	"12.266"	"micron"	"direct"	"2.47"	"micron"	"direct"	"26.49275"	"micron"	"direct"	"2.5625"	"micron"	"direct"	"0.20136964"	"dimensionless"	"direct"	"0.36927486"	"dimensionless"	"direct"	"0.97951532"	"dimensionless"	"direct"	"Nuclear Morphometric Parameters"	"MCDS_S_0000000238.xml"
